denominazione;latitudine;longitudine
Adria;45.0575185;12.0559444
Ariano nel Polesine;44.9470370;12.1259444
Arquà Polesine;45.0111111;11.7409629
Badia Polesine;45.0972340;11.4891130
Bagnolo di Po;45.0164074;11.5020555
Bergantino;45.0620370;11.2528333
Bosaro;44.9998703;11.7657962
Calto;44.9922420;11.3577820
Canaro;44.9361242;11.6766696
Canda;45.0340740;11.5067222
Castelguglielmo;45.0257962;11.5376666
Castelmassa;45.0195555;11.3143888
Castelnovo Bariano;45.0275770;11.2873237
Ceneselli;45.0147037;11.3711111
Ceregnano;45.0489074;11.8703148
Corbola;45.0051054;12.0836953
Costa di Rovigo;45.0500000;11.6956296
Crespino;44.9823872;11.8859025
Ficarolo;44.9553148;11.4359629
Fiesso Umbertiano;44.9636111;11.6064074
Frassinelle Polesine;44.9962364;11.6980177
Fratta Polesine;45.0303333;11.6461111
Gaiba;44.9472037;11.4812592
Gavello;45.0226666;11.9162777
Giacciano con Baruchella;45.0681296;11.4514074
Guarda Veneta;44.9815740;11.8014074
Lendinara;45.0836978;11.5991141
Loreo;45.0625000;12.1895555
Lusia;45.0995555;11.6662777
Melara;45.0643610;11.1981410
Occhiobello;44.9217407;11.5812592
Papozze;44.9867222;12.0320555
Pettorazza Grimani;45.1370370;11.9878148
Pincara;44.9923518;11.6098518
Polesella;44.9634629;11.7539259
Pontecchio Polesine;45.0207962;11.8148518
Porto Tolle;44.9501464;12.3218517
Porto Viro;45.0249410;12.2200320
Rosolina;45.0759629;12.2432962
Rovigo;45.0707365;11.7897964
Salara;44.9842222;11.4273703
San Bellino;45.0309629;11.5900185
San Martino di Venezze;45.1298619;11.8688584
Stienta;44.9420370;11.5431296
Taglio di Po;45.0073703;12.2120555
Trecenta;45.0320370;11.4609629
Villadose;45.0698518;11.8943888
Villamarzana;45.0145370;11.6984444
Villanova del Ghebbo;45.0601666;11.6400000
Villanova Marchesana;44.9932962;11.9657962
