University;Average points
Libera Università di Bolzano;101.0
Università di Camerino UNICAM;98.2
Università degli Studi di Trento;97.3
Università di Milano Bocconi;96.2
Università di Roma LUISS;94.2
Università degli Studi di Siena;94.0
Università degli Studi di Perugia;93.3
Università degli Studi di Milano Statale;93.3
Università degli Studi di Sassari;92.8
Università degli Studi di Udine;92.8
Università degli Studi di Trieste;92.0
Università degli Studi di Bologna;91.8
Università degli Studi di Salerno;91.8
Università Politecnica delle Marche;91.3
Università degli Studi di Pavia;91.2
Università degli Studi di Roma Europea;91.2
Università degli Studi di Venezia Iuav;90.3
Università degli Studi della Calabria;90.2
Università degli Studi di Torino;90.2
Università degli Studi di Venezia Cà Foscari;89.7
Università degli Studi di  Padova;88.7
Università degli Studi di Parma;88.5
Università degli Studi di Milano Bicocca;88.0
Università degli Studi del Salento;87.7
Università degli Studi di Brescia;87.0
Università degli Studi di Liuc Cattaneo;86.8
Università degli Studi di Cagliari;86.7
Università degli Studi di Modena e Reggio Emilia;86.7
Università degli Studi di Macerata;86.5
Università degli Studi di Verona;86.3
Università degli Studi di Bari;86.0
Università degli Studi di Roma Lumsa;85.8
Università degli Studi Roma La Sapienza;85.5
Università degli Studi di Roma Tor Vergata;85.5
Università degli Studi di  Firenze;85.0
Università degli Studi di Pisa;84.8
Università degli Studi di Roma Biomedico;84.8
Università degli Studi di Cassino;84.7
Università degli Studi di Genova;84.5
Università degli Studi di Roma Unint;84.4
Università degli Studi della Tuscia;84.3
Università degli Studi di Sannio;84.0
Università degli Studi di Ferrara;83.7
Università degli Studi di Bergamo;83.7
Università degli Studi di Reggio Calabria;83.7
Università degli Studi del Piemonte Orientale;83.5
Università degli Studi di Teramo;83.5
Università degli Studi di Urbino Carlo Bo;83.3
Università degli Studi di Torino;82.8
Università degli Studi di Palermo;82.7
Università degli Studi di Foggia;82.2
Università degli Studi dell’Insubria;82.0
Università degli Studi di Milano;81.8
Università degli Studi della Campania Vanvitelli;81.8
Università degli Studi di Napoli Parthenope;81.8
Università degli Studi Roma Tre;81.0
Università degli Studi della Basilicata;81.0
Università degli Studi di Milano Iulm;81.0
Università degli Studi di L’Aquila;80.7
Università degli Studi di Milano San Raffaele;80.6
Università degli Studi di Milano Cattolica;80.2
Università degli Studi di Bari;79.5
Università degli Studi di Catanzaro;78.7
Università degli Studi di Catania;78.5
Università degli Studi di Chieti e Pescara;78.3
Università degli Studi di Napoli L’Orientale;77.8
Università degli Studi di Aosta;77.8
Università degli Studi di Messina;76.5
Università degli Studi di Roma Link Campus;76.4
Università degli Studi di Enna Kore;76.2
Università degli Studi del Molise;75.5
Università degli Studi Lum J. Monnet;75.0
Università degli Studi di Napoli Federico II;73.5
Università degli Studi di Napoli Benincasa;72.8
